Time,MD Play,Bowie Play,Score,Margin,Player Last Name-Bowie,Player First Name-Bowie,Player Last Name-MD,Player First Name-MD
19:45,,TURNOVR,0-0,0,Jackson,Miles,,
19:43,STEAL,,0-0,0,,,Sulaimon,Rasheed
19:41,MISSED,,0-0,0,,,Sulaimon,Rasheed
19:41,REBOUND,,0-0,0,,,Layman,Jake
19:40,,FOUL,0-0,0,Beck,Justin,,
19:20,MISSED,,0-0,0,,,Layman,Jake
19:20,REBOUND,,0-0,0,,,Carter,Robert
19:16,MISSED,REBOUND,0-0,0,Jackson,Miles,Sulaimon,Rasheed
19:02,REBOUND,MISSED,0-0,0,Jackson,Andre,TEAM,
18:43,TURNOVR,,0-0,0,,,Carter,Robert
18:29,REBOUND,MISSED,0-0,0,Beck,Justin,Trimble,Melo
18:22,TURNOVR,,0-0,0,,,Trimble,Melo
18:16,REBOUND,MISSED,0-0,0,Jackson,Miles,Trimble,Melo
18:06,,FOUL,0-0,0,Ebinum,Enuoma,,
17:56,GOOD ,,Two -0,H 2,,,Stone,Diamond
17:33,REBOUND,MISSED,Two -0,H 2,Wells,Dayshawn,Carter,Robert
17:25,GOOD ,,Four-0,H 4,,,Stone,Diamond
17:25,ASSIST,,Four-0,H 4,,,Layman,Jake
17:10,,MISSED,Four-0,H 4,Beck,Justin,,
17:10,,REBOUND,Four-0,H 4,Jackson,Miles,,
17:06,,GOOD,Four-2,H 2,Jackson,Miles,,
16:49,,FOUL,Four-2,H2,Wells,Dayshawn,,
16:39,GOOD ,,Six-2,H 4,,,Layman,Jake
16:39,ASSIST,,Six-2,H 4,,,Carter,Robert
16:24,,MISSED,Six-2,H 4,Jackson,Andre,,
16:24,,REBOUND,Six-2,H 4,Beck,Justin,,
16:15,FOUL,MISSED,Six-2,H 4,Ebinum,Enuoma,Trimble,Melo
16:15,,REBOUND,Six-2,H 4,DEADBALL,,,
16:15,,GOOD,Six-3,H 3,Ebinum,Enuoma,,
16:15,SUB-IN,SUB-IN,Six-3,H3,Livingston,Julian,Nickens,Jared
16:15,SUB-OUT,SUB-IN,Six-3,H 3,Briscoe,Michael,Trimble,Melo
16:15,,SUB-OUT,Six-3,H 3,Jackson,Miles,,
15:50,,FOUL,Six-3,H 3,Ebinum,Enuoma,,
15:50,TIMEOUT,TIMEOUT,Six-3,H 3,,,,
